country,date,value,metric
DRC,2026-05-14,8,cumulative_confirmed_cases
DRC,2026-05-14,4,cumulative_confirmed_deaths
DRC,2026-05-14,ND,cumulative_suspected_deaths
DRC,2026-05-14,246,cumulative_suspected_cases
DRC,2026-05-17,ND,cumulative_suspected_deaths
DRC,2026-05-17,13,cumulative_confirmed_cases
DRC,2026-05-17,4,cumulative_confirmed_deaths
DRC,2026-05-17,246,cumulative_suspected_cases
DRC,2026-05-18,131,cumulative_suspected_deaths
DRC,2026-05-18,33,cumulative_confirmed_cases
DRC,2026-05-18,4,cumulative_confirmed_deaths
DRC,2026-05-18,516,cumulative_suspected_cases
DRC,2026-05-19,51,cumulative_confirmed_cases
DRC,2026-05-19,148,cumulative_suspected_deaths
DRC,2026-05-19,4,cumulative_confirmed_deaths
DRC,2026-05-19,575,cumulative_suspected_cases
DRC,2026-05-20,160,cumulative_suspected_deaths
DRC,2026-05-20,6,cumulative_confirmed_deaths
DRC,2026-05-20,671,cumulative_suspected_cases
DRC,2026-05-20,64,cumulative_confirmed_cases
DRC,2026-05-21,746,cumulative_suspected_cases
DRC,2026-05-21,176,cumulative_suspected_deaths
DRC,2026-05-21,83,cumulative_confirmed_cases
DRC,2026-05-21,9,cumulative_confirmed_deaths
DRC,2026-05-22,867,cumulative_suspected_cases
DRC,2026-05-22,ND,cumulative_suspected_deaths
DRC,2026-05-22,91,cumulative_confirmed_cases
DRC,2026-05-22,10,cumulative_confirmed_deaths
DRC,2026-05-23,904,cumulative_suspected_cases
DRC,2026-05-23,220,cumulative_suspected_deaths
DRC,2026-05-23,101,cumulative_confirmed_cases
DRC,2026-05-23,10,cumulative_confirmed_deaths
DRC,2026-05-24,223,cumulative_suspected_deaths
DRC,2026-05-24,105,cumulative_confirmed_cases
DRC,2026-05-24,10,cumulative_confirmed_deaths
DRC,2026-05-24,906,cumulative_suspected_cases
DRC,2026-05-25,238,cumulative_suspected_deaths
DRC,2026-05-25,998,cumulative_suspected_cases
DRC,2026-05-25,106,cumulative_confirmed_cases
DRC,2026-05-25,12,cumulative_confirmed_deaths
DRC,2026-05-26,246,cumulative_suspected_deaths
DRC,2026-05-26,1077,cumulative_suspected_cases
DRC,2026-05-26,17,cumulative_confirmed_deaths
DRC,2026-05-26,121,cumulative_confirmed_cases
DRC,2026-05-27,906,cumulative_suspected_cases
DRC,2026-05-27,223,cumulative_suspected_deaths
DRC,2026-05-27,125,cumulative_confirmed_cases
DRC,2026-05-27,1,cumulative_recovered_cases
DRC,2026-05-27,17,cumulative_confirmed_deaths
DRC,2026-05-28,210,cumulative_confirmed_cases
DRC,2026-05-28,17,cumulative_confirmed_deaths
DRC,2026-05-28,349,cumulative_suspected_cases
DRC,2026-05-28,236,cumulative_suspected_deaths
DRC,2026-05-28,1,cumulative_recovered_cases
DRC,2026-05-29,2,cumulative_recovered_cases
DRC,2026-05-29,263,cumulative_confirmed_cases
DRC,2026-05-29,42,cumulative_confirmed_deaths
DRC,2026-05-29,236,cumulative_suspected_deaths
DRC,2026-05-29,349,cumulative_suspected_cases
DRC,2026-05-30,42,cumulative_confirmed_deaths
DRC,2026-05-30,101,suspected_cases_in_isolation
DRC,2026-05-30,2,cumulative_recovered_cases
DRC,2026-05-30,220,suspected_cases_under_investigation
DRC,2026-05-30,236,cumulative_suspected_deaths
DRC,2026-05-30,321,cumulative_suspected_cases
DRC,2026-05-30,282,cumulative_confirmed_cases
DRC,2026-05-31,104,suspected_cases_in_isolation
DRC,2026-05-31,6,cumulative_recovered_cases
DRC,2026-05-31,220,cumulative_suspected_cases
DRC,2026-05-31,48,cumulative_confirmed_deaths
DRC,2026-05-31,116,suspected_cases_under_investigation
DRC,2026-05-31,321,cumulative_confirmed_cases
DRC,2026-06-01,116,suspected_cases_under_investigation
DRC,2026-06-01,242,cumulative_suspected_deaths
DRC,2026-06-01,344,cumulative_confirmed_cases
DRC,2026-06-01,173,suspected_cases_in_isolation
DRC,2026-06-01,6,cumulative_recovered_cases
DRC,2026-06-01,289,cumulative_suspected_cases
DRC,2026-06-01,60,cumulative_confirmed_deaths
DRC,2026-06-02,206,suspected_cases_in_isolation
DRC,2026-06-02,363,cumulative_confirmed_cases
DRC,2026-06-02,6,cumulative_recovered_cases
DRC,2026-06-02,ND,suspected_cases_under_investigation
DRC,2026-06-02,206,cumulative_suspected_cases
DRC,2026-06-02,62,cumulative_confirmed_deaths
DRC,2026-06-03,7,cumulative_recovered_cases
DRC,2026-06-03,64,cumulative_confirmed_deaths
DRC,2026-06-03,381,cumulative_confirmed_cases
DRC,2026-06-03,233,suspected_cases_in_isolation
DRC,2026-06-04,153,cumulative_suspected_cases
DRC,2026-06-04,8,cumulative_recovered_cases
DRC,2026-06-04,82,cumulative_confirmed_deaths
DRC,2026-06-04,452,cumulative_confirmed_cases
DRC,2026-06-04,258,suspected_cases_in_isolation
DRC,2026-06-05,9,cumulative_recovered_cases
DRC,2026-06-05,86,cumulative_confirmed_deaths
DRC,2026-06-05,488,cumulative_confirmed_cases
DRC,2026-06-05,267,suspected_cases_in_isolation
DRC,2026-06-05,119,cumulative_suspected_cases
DRC,2026-06-06,515,cumulative_confirmed_cases
DRC,2026-06-06,117,cumulative_suspected_cases
DRC,2026-06-06,12,cumulative_recovered_cases
DRC,2026-06-06,91,cumulative_confirmed_deaths
DRC,2026-06-06,283,suspected_cases_in_isolation
DRC,2026-06-07,94,cumulative_suspected_cases
DRC,2026-06-07,19,cumulative_recovered_cases
DRC,2026-06-07,309,suspected_cases_in_isolation
DRC,2026-06-07,101,cumulative_confirmed_deaths
DRC,2026-06-07,550,cumulative_confirmed_cases
DRC,2026-06-08,598,cumulative_confirmed_cases
DRC,2026-06-08,22,cumulative_recovered_cases
DRC,2026-06-08,115,cumulative_confirmed_deaths
DRC,2026-06-08,297,suspected_cases_in_isolation
DRC,2026-06-08,138,cumulative_suspected_cases
DRC,2026-06-09,635,cumulative_confirmed_cases
DRC,2026-06-09,260,suspected_cases_in_isolation
DRC,2026-06-09,30,cumulative_recovered_cases
DRC,2026-06-09,127,cumulative_confirmed_deaths
DRC,2026-06-09,119,cumulative_suspected_cases
DRC,2026-06-10,32,cumulative_recovered_cases
DRC,2026-06-10,136,cumulative_confirmed_deaths
DRC,2026-06-10,119,cumulative_suspected_cases
DRC,2026-06-10,262,suspected_cases_in_isolation
DRC,2026-06-10,676,cumulative_confirmed_cases
DRC,2026-06-11,315,suspected_cases_in_isolation
DRC,2026-06-11,64,cumulative_suspected_deaths
DRC,2026-06-11,32,cumulative_recovered_cases
DRC,2026-06-11,689,cumulative_confirmed_cases
DRC,2026-06-11,168,cumulative_suspected_cases
DRC,2026-06-11,139,cumulative_confirmed_deaths
DRC,2026-06-13,49,cumulative_suspected_deaths
DRC,2026-06-13,136,cumulative_suspected_cases
DRC,2026-06-13,40,cumulative_recovered_cases
DRC,2026-06-13,782,cumulative_confirmed_cases
DRC,2026-06-13,359,suspected_cases_in_isolation
DRC,2026-06-13,181,cumulative_confirmed_deaths
DRC,2026-06-14,165,cumulative_suspected_cases
DRC,2026-06-14,363,suspected_cases_in_isolation
DRC,2026-06-14,192,cumulative_confirmed_deaths
DRC,2026-06-14,48,cumulative_recovered_cases
DRC,2026-06-14,54,cumulative_suspected_deaths
DRC,2026-06-14,808,cumulative_confirmed_cases
DRC,2026-06-15,376,suspected_cases_in_isolation
DRC,2026-06-15,837,cumulative_confirmed_cases
DRC,2026-06-15,235,cumulative_suspected_cases
DRC,2026-06-15,49,cumulative_recovered_cases
DRC,2026-06-15,196,cumulative_confirmed_deaths
DRC,2026-06-16,67,cumulative_recovered_cases
DRC,2026-06-16,379,suspected_cases_in_isolation
DRC,2026-06-16,875,cumulative_confirmed_cases
DRC,2026-06-16,202,cumulative_confirmed_deaths
DRC,2026-06-16,192,cumulative_suspected_cases
DRC,2026-06-17,151,cumulative_suspected_cases
DRC,2026-06-17,383,suspected_cases_in_isolation
DRC,2026-06-17,78,cumulative_recovered_cases
DRC,2026-06-17,232,cumulative_confirmed_deaths
DRC,2026-06-17,35,cumulative_suspected_deaths
DRC,2026-06-17,896,cumulative_confirmed_cases
DRC,2026-06-18,80,cumulative_recovered_cases
DRC,2026-06-18,54,cumulative_suspected_deaths
DRC,2026-06-18,933,cumulative_confirmed_cases
DRC,2026-06-18,238,cumulative_suspected_cases
DRC,2026-06-18,245,cumulative_confirmed_deaths
DRC,2026-06-18,416,suspected_cases_in_isolation
DRC,2026-06-19,92,cumulative_recovered_cases
DRC,2026-06-19,956,cumulative_confirmed_cases
DRC,2026-06-19,247,cumulative_confirmed_deaths
DRC,2026-06-19,361,suspected_cases_in_isolation
DRC,2026-06-19,162,cumulative_suspected_cases
DRC,2026-06-19,47,cumulative_suspected_deaths
DRC,2026-06-20,254,cumulative_confirmed_deaths
DRC,2026-06-20,201,cumulative_suspected_cases
DRC,2026-06-20,365,suspected_cases_in_isolation
DRC,2026-06-20,30,cumulative_suspected_deaths
DRC,2026-06-20,1003,cumulative_confirmed_cases
DRC,2026-06-20,100,cumulative_recovered_cases
DRC,2026-06-21,1048,cumulative_confirmed_cases
DRC,2026-06-21,112,cumulative_recovered_cases
DRC,2026-06-21,60,cumulative_suspected_deaths
DRC,2026-06-21,202,cumulative_suspected_cases
DRC,2026-06-21,267,cumulative_confirmed_deaths
DRC,2026-06-21,371,suspected_cases_in_isolation
DRC,2026-06-22,115,cumulative_recovered_cases
DRC,2026-06-22,131,cumulative_suspected_cases
DRC,2026-06-22,1094,cumulative_confirmed_cases
DRC,2026-06-22,387,suspected_cases_in_isolation
DRC,2026-06-22,44,cumulative_suspected_deaths
DRC,2026-06-22,277,cumulative_confirmed_deaths
DRC,2026-06-23,1118,cumulative_confirmed_cases
DRC,2026-06-23,408,suspected_cases_in_isolation
DRC,2026-06-23,122,cumulative_recovered_cases
DRC,2026-06-23,138,cumulative_suspected_cases
DRC,2026-06-23,291,cumulative_confirmed_deaths
DRC,2026-06-23,45,cumulative_suspected_deaths
DRC,2026-06-24,385,suspected_cases_in_isolation
DRC,2026-06-24,154,cumulative_suspected_cases
DRC,2026-06-24,40,cumulative_suspected_deaths
DRC,2026-06-24,304,cumulative_confirmed_deaths
DRC,2026-06-24,138,cumulative_recovered_cases
DRC,2026-06-24,1155,cumulative_confirmed_cases
DRC,2026-06-25,1203,cumulative_confirmed_cases
DRC,2026-06-25,77,cumulative_suspected_deaths
DRC,2026-06-25,419,suspected_cases_in_isolation
DRC,2026-06-25,265,cumulative_suspected_cases
DRC,2026-06-25,321,cumulative_confirmed_deaths
DRC,2026-06-25,148,cumulative_recovered_cases
DRC,2026-06-27,502,suspected_cases_in_isolation
DRC,2026-06-27,360,cumulative_confirmed_deaths
DRC,2026-06-27,178,cumulative_recovered_cases
