health_zone,date,value
Mongbwalu,14/05/2026,ND
Mongbwalu,15/05/2026,ND
Rwampara,15/05/2026,ND
Bunia,15/05/2026,ND
Mongbwalu,18/05/2026,ND
Rwampara,18/05/2026,ND
Bunia,18/05/2026,ND
Nyankunde,18/05/2026,ND
Goma,18/05/2026,ND
Katwa,18/05/2026,ND
Butembo,18/05/2026,ND
Mongbwalu,19/05/2026,0
Rwampara,19/05/2026,0
Bunia,19/05/2026,0
Nyankunde,19/05/2026,0
Goma,19/05/2026,ND
Katwa,19/05/2026,ND
Butembo,19/05/2026,ND
Mongbwalu,20/05/2026,0
Rwampara,20/05/2026,0
Bunia,20/05/2026,0
Nyankunde,20/05/2026,0
Goma,20/05/2026,ND
Katwa,20/05/2026,ND
Butembo,20/05/2026,ND
Bambu,20/05/2026,ND
Mongbwalu,21/05/2026,0
Rwampara,21/05/2026,1
Bunia,21/05/2026,1
Nyankunde,21/05/2026,0
Goma,21/05/2026,0
Katwa,21/05/2026,0
Butembo,21/05/2026,0
Bambu,21/05/2026,0
Nizi,21/05/2026,0
Kilo,21/05/2026,0
Miti Murhesa,21/05/2026,0
Mongbwalu,22/05/2026,0
Rwampara,22/05/2026,2
Bunia,22/05/2026,2
Nyankunde,22/05/2026,0
Goma,22/05/2026,0
Katwa,22/05/2026,0
Butembo,22/05/2026,0
Bambu,22/05/2026,0
Nizi,22/05/2026,0
Kilo,22/05/2026,0
Miti Murhesa,22/05/2026,0
Komanda,22/05/2026,1
Mongbwalu,23/05/2026,0
Rwampara,23/05/2026,2
Bunia,23/05/2026,2
Nyankunde,23/05/2026,0
Goma,23/05/2026,0
Katwa,23/05/2026,0
Butembo,23/05/2026,0
Bambu,23/05/2026,0
Nizi,23/05/2026,0
Kilo,23/05/2026,0
Miti Murhesa,23/05/2026,0
Komanda,23/05/2026,1
Mongbwalu,24/05/2026,0
Rwampara,24/05/2026,2
Bunia,24/05/2026,2
Nyankunde,24/05/2026,0
Goma,24/05/2026,0
Katwa,24/05/2026,0
Butembo,24/05/2026,0
Bambu,24/05/2026,0
