health_zone,date,value
Mongbwalu,14/05/2026,ND
Mongbwalu,15/05/2026,3
Rwampara,15/05/2026,5
Bunia,15/05/2026,4
Mongbwalu,18/05/2026,12
Rwampara,18/05/2026,51
Bunia,18/05/2026,13
Nyankunde,18/05/2026,3
Mongbwalu,19/05/2026,16
Rwampara,19/05/2026,44
Bunia,19/05/2026,43
Nyankunde,19/05/2026,8
Komanda,19/05/2026,2
Mangala,19/05/2026,1
Mongbwalu,20/05/2026,22
Rwampara,20/05/2026,69
Bunia,20/05/2026,73
Nyankunde,20/05/2026,17
Bambu,20/05/2026,ND
Mongbwalu,21/05/2026,23
Rwampara,21/05/2026,81
Bunia,21/05/2026,114
Nyankunde,21/05/2026,26
Nizi,21/05/2026,ND
Kilo,21/05/2026,ND
Mongbwalu,22/05/2026,30
Rwampara,22/05/2026,132
Bunia,22/05/2026,142
Nyankunde,22/05/2026,6
Nizi,22/05/2026,1
Kilo,22/05/2026,ND
Komanda,22/05/2026,1
Tchomia,22/05/2026,1
Adi,22/05/2026,5
Mongbwalu,23/05/2026,30
Rwampara,23/05/2026,92
Bunia,23/05/2026,164
Nyankunde,23/05/2026,6
Nizi,23/05/2026,1
Kilo,23/05/2026,8
Aru,23/05/2026,1
Mongbwalu,24/05/2026,ND
Rwampara,24/05/2026,ND
Bunia,24/05/2026,ND
Nyankunde,24/05/2026,ND
Nizi,24/05/2026,ND
Kilo,24/05/2026,ND
Aru,24/05/2026,ND
