health_zone,date,value
Mongbwalu,14/05/2026,82
Mongbwalu,15/05/2026,ND
Rwampara,15/05/2026,ND
Bunia,15/05/2026,ND
Mongbwalu,18/05/2026,161
Rwampara,18/05/2026,120
Bunia,18/05/2026,127
Nyankunde,18/05/2026,133
Mongbwalu,19/05/2026,176
Rwampara,19/05/2026,335
Bunia,19/05/2026,203
Nyankunde,19/05/2026,133
Komanda,19/05/2026,ND
Mangala,19/05/2026,ND
Mongbwalu,20/05/2026,176
Rwampara,20/05/2026,621
Bunia,20/05/2026,203
Nyankunde,20/05/2026,133
Bambu,20/05/2026,128
Mongbwalu,21/05/2026,176
Rwampara,21/05/2026,621
Bunia,21/05/2026,290
Nyankunde,21/05/2026,340
Nizi,21/05/2026,0
Kilo,21/05/2026,0
Mongbwalu,22/05/2026,222
Rwampara,22/05/2026,621
Bunia,22/05/2026,290
Nyankunde,22/05/2026,365
Nizi,22/05/2026,0
Kilo,22/05/2026,176
Aru,22/05/2026,0
Mongbwalu,23/05/2026,222
Rwampara,23/05/2026,621
Bunia,23/05/2026,404
Nyankunde,23/05/2026,365
Nizi,23/05/2026,22
Kilo,23/05/2026,0
Aru,23/05/2026,0
Bambu,23/05/2026,183
Mongbwalu,24/05/2026,222
Rwampara,24/05/2026,621
Bunia,24/05/2026,404
Nyankunde,24/05/2026,365
Nizi,24/05/2026,22
Kilo,24/05/2026,0
Aru,24/05/2026,0
Bambu,24/05/2026,183
Butembo,24/05/2026,22
Goma,24/05/2026,28
Katwa,24/05/2026,99
Karisimbi,24/05/2026,249
Kyondo,24/05/2026,16
Mongbwalu,25/05/2026,222
Rwampara,25/05/2026,621
Bunia,25/05/2026,404
Nyankunde,25/05/2026,365
Nizi,25/05/2026,22
Kilo,25/05/2026,0
Aru,25/05/2026,0
Bambu,25/05/2026,183
Butembo,25/05/2026,22
Goma,25/05/2026,28
Katwa,25/05/2026,99
Karisimbi,25/05/2026,249
Kyondo,25/05/2026,16
Mongbwalu,26/05/2026,222
Rwampara,26/05/2026,621
Bunia,26/05/2026,404
Nyankunde,26/05/2026,365
Nizi,26/05/2026,22
Kilo,26/05/2026,0
Aru,26/05/2026,0
Bambu,26/05/2026,183
Butembo,26/05/2026,22
Goma,26/05/2026,28
Katwa,26/05/2026,99
Karisimbi,26/05/2026,249
Kyondo,26/05/2026,16
Mongbwalu,27/05/2026,222
Rwampara,27/05/2026,697
Bunia,27/05/2026,404
Nyankunde,27/05/2026,397
Nizi,27/05/2026,220
Kilo,27/05/2026,41
Aru,27/05/2026,0
Bambu,27/05/2026,244
Butembo,27/05/2026,28
Goma,27/05/2026,74
Katwa,27/05/2026,111
Karisimbi,27/05/2026,181
Kyondo,27/05/2026,16
Mongbwalu,28/05/2026,222
Rwampara,28/05/2026,697
Bunia,28/05/2026,404
Nyankunde,28/05/2026,397
Nizi,28/05/2026,220
Kilo,28/05/2026,41
Aru,28/05/2026,0
Bambu,28/05/2026,244
Butembo,28/05/2026,28
Goma,28/05/2026,74
Katwa,28/05/2026,111
Karisimbi,28/05/2026,181
Kyondo,28/05/2026,16
Mongbwalu,29/05/2026,222
Rwampara,29/05/2026,697
Bunia,29/05/2026,404
Nyankunde,29/05/2026,743
Nizi,29/05/2026,260
Kilo,29/05/2026,41
Aru,29/05/2026,0
Bambu,29/05/2026,345
Butembo,29/05/2026,48
Goma,29/05/2026,140
Katwa,29/05/2026,221
Karisimbi,29/05/2026,413
Kyondo,29/05/2026,16
Mongbwalu,30/05/2026,222
Rwampara,30/05/2026,697
Bunia,30/05/2026,404
Nyankunde,30/05/2026,743
Nizi,30/05/2026,260
Kilo,30/05/2026,41
Aru,30/05/2026,0
Bambu,30/05/2026,345
Butembo,30/05/2026,48
Goma,30/05/2026,140
Katwa,30/05/2026,221
Karisimbi,30/05/2026,413
Kyondo,30/05/2026,16
