nom,flowminder__inflow_202604__static.matrix,flowminder__inflow__static.matrix,flowminder__outflow_202604__static.matrix,flowminder__outflow__static.matrix,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608__static,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_prior_20260503__static,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260430__static,flowminder_short_trips__outflow_20260430__static.matrix,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260507__static,flowminder_short_trips__outflow_20260507__static.matrix,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260514__static,flowminder_short_trips__outflow_20260514__static.matrix,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260521__static,flowminder_short_trips__outflow_20260521__static.matrix,flowminder_short_trips__outflow_20260524,flowminder_short_trips__outflow_20260524__static,flowminder_short_trips__outflow_20260524__static.matrix
Aba,0.0,0.0,0.0,0.0,0.0005129,0.0005129,,0.0004711,0.0004711,,0.0002419,0.0002419,,0.0001674,0.0001674,,0.01,0.01,,0.02,0.02,,0.02,0.02,,0.02,0.02,,0.02,0.02,
Adi,890,1130.0,455,1130.0,0.001032,0.001032,,0.001081,0.001081,,0.0003277,0.0003277,,0.0001266,0.0001266,,0.02,0.02,,0.03,0.03,,0.03,0.03,,0.04,0.04,,0.05,0.05,
Adja,,0.0,,0.0,9.118e-06,9.118e-06,,5.319e-05,5.319e-05,,1.969e-05,1.969e-05,,5.063e-05,5.063e-05,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
Aketi,0.0,0.0,0.0,0.0,5.775e-05,5.775e-05,,1.52e-05,1.52e-05,,0.0004022,0.0004022,,0.0004191,0.0004191,,,,,,,,,,,,,,,,
Alimbongo,0.0,0.0,0.0,0.0,0.0005093,0.0005093,,0.0004673,0.0004673,,0.01056,0.01056,,0.01031,0.01031,,0.01,0.01,,0.01,0.01,,0.02,0.02,,0.03,0.03,,0.03,0.03,
Alunguli,0.0,0.0,0.0,0.0,3.571e-05,3.571e-05,,4.255e-05,4.255e-05,,0.0004303,0.0004303,,0.0006286,0.0006286,,,,,,,,,,,,,,,,
Ango,,0.0,,0.0,0.0,0.0,,1.52e-06,1.52e-06,,0.0,0.0,,0.0001828,0.0001828,,,,,,,,,,,,,,,,
Angumu,,0.0,,0.0,0.01238,0.01238,,0.01216,0.01216,,0.0003206,0.0003206,,4.219e-05,4.219e-05,,0.13,0.13,,0.18,0.18,,0.23,0.23,,0.26,0.26,,0.28,0.28,
Ankoro,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,3.039e-06,3.039e-06,,0.0,0.0,,2.813e-06,2.813e-06,,,,,,,,,,,,,,,,
Ariwara,248,198.0,200,198.0,0.01072,0.01072,,0.01177,0.01177,,0.005159,0.005159,,0.005553,0.005553,,0.13,0.13,,0.2,0.2,,0.24,0.24,,0.3,0.3,,0.31,0.31,
